Scenario,OMST,LMST,Sens early (%),Sens late (%),Specificity (%),# screens,Follow-up,Positivity (%),Phi (%),p_c (Trad),p_s (Trad),p_c (IE+),p_s (IE+),p_c (PA),p_s (PA),rho_n control,rho_n screen,RR negative,RR Traditional,RR IE,RR PA,N Traditional,N IE,N PA,N_Traditional / N_IE,N_Traditional / N_PA
1,2,0.5,40,60,100,3,2,0.35,99.969,0.005,0.003,0.627,0.218,0.005,0.003,0.003,0.003,0.995,0.701,0.348,0.68,61532,13089,56917,4.701,1.081
2,2,0.5,40,60,100,3,5,0.35,99.969,0.009,0.008,0.744,0.218,0.009,0.007,0.007,0.007,0.992,0.8,0.293,0.793,73862,8098,71209,9.121,1.037
3,2,0.5,40,60,100,6,2,0.711,99.969,0.009,0.006,0.677,0.21,0.009,0.006,0.005,0.005,0.988,0.644,0.31,0.632,21292,4994,20454,4.263,1.041
4,2,0.5,40,60,100,6,5,0.711,99.969,0.015,0.011,0.75,0.21,0.015,0.011,0.01,0.01,0.985,0.737,0.28,0.731,25609,3777,25014,6.781,1.024
5,2,0.5,40,60,90,3,2,27.3,99.969,0.005,0.003,0.008,0.003,0.005,0.003,0.004,0.004,0.995,0.701,0.348,0.68,61532,22541,56917,2.73,1.081
6,2,0.5,40,60,90,3,5,27.3,99.969,0.009,0.008,0.01,0.003,0.009,0.007,0.009,0.009,0.992,0.8,0.293,0.793,73862,15505,71209,4.764,1.037
7,2,0.5,40,60,90,6,2,47.091,99.969,0.009,0.006,0.01,0.003,0.009,0.006,0.009,0.009,0.988,0.644,0.31,0.632,21292,8908,20454,2.39,1.041
8,2,0.5,40,60,90,6,5,47.091,99.969,0.015,0.011,0.011,0.003,0.015,0.011,0.019,0.018,0.985,0.737,0.28,0.731,25609,7205,25014,3.554,1.024
9,2,0.5,40,90,100,3,2,0.385,99.954,0.005,0.003,0.66,0.289,0.004,0.003,0.002,0.002,0.995,0.701,0.438,0.669,61723,14750,54779,4.185,1.127
10,2,0.5,40,90,100,3,5,0.385,99.954,0.009,0.008,0.767,0.289,0.009,0.007,0.007,0.006,0.992,0.8,0.377,0.79,73863,8889,69882,8.309,1.057
11,2,0.5,40,90,100,6,2,0.778,99.954,0.009,0.006,0.704,0.278,0.009,0.006,0.004,0.004,0.986,0.644,0.394,0.626,21326,5542,20066,3.848,1.063
12,2,0.5,40,90,100,6,5,0.778,99.954,0.015,0.011,0.771,0.278,0.015,0.011,0.009,0.009,0.984,0.737,0.36,0.728,25609,4129,24717,6.202,1.036
13,2,0.5,40,90,90,3,2,27.333,99.954,0.005,0.003,0.009,0.004,0.004,0.003,0.003,0.003,0.995,0.701,0.438,0.669,61723,27881,54779,2.214,1.127
